Id,RecResult
7241,i haven't got a reservation
7242,a room for four nights
7243,single room
7244,a single room
7245,a single room please
7246,i want to pay with mastercard
7247,is there a fitness room
7248,where is the fitness room
7249,no i haven't got a reservation
7250,no i don't have a reservation
7251,a room for four nights
7252,a double room please
7253,i would like a double room
7254,i would like a double room
7255,i would like to pay with mastercard
7256,is there a swimming pool
7257,where is the swimming pool
7258,the bathroom is dirty
7259,can you give me a hairdryer
7260,where can i buy a hairdryer
7261,i don't have a reservation
7262,i haven't got a reservation
7263,no i don't have a reservation
7264,no i have no i do not have a reservation
7265,no i do not a reservation
7266,a room for one week
7267,a suite
7268,i would like a suite
7270,i want to pay with credit card
7271,can i pay by credit card
7272,i would like to pay pay with euros
7273,do you have a lift
7274,where is the lift
7275,the bathroom is dirty
7276,in the room is got a hairdryer
7277,i could not find any hairdryer
7278,where can i pay a hairdryer
7279,no i do not have a reservation
7280,no i do not have a reservation
7281,a room for one week
7282,a double room
7283,a twin room please
7284,i want to pay with post card
7286,i would like to pay by post card
7287,is there a swimming pool
7289,where is the swimming pool
7290,my room is dirty
7291,no i don't is haven't got a hairdryer
7292,where can i buy a hairdryer
7293,a room for one week
7294,junior suite
7295,i'd like to pay with credit card
7296,is there a hotel restaurant
7297,where is the hairdresser restaurants
7298,a room for five nights
7299,a suite
7300,i like to pay with visa
7301,i'd like to pay with swiss francs
7302,i'd like to pay with swiss francs
7303,is there a lift
7304,a room for four nights five nights
7305,a twin room
7306,i would like a room for seven nights
7307,junior suite
7308,junior suite
7309,i want a junior suite
7311,no i do not have a reservation
7312,i would like a room for seven nights
7313,i'd like a single room
7314,i would like to buy with the credit card
7315,is there a fitness studio
7316,i would like
7317,i would like a room for four five five nights
7318,i would like a single room
7319,i would like to pay by post card
7320,i would like to pay by euro
7321,can i pay with euros
7322,is there a fitness studio
7323,where is the fitness studio
7324,the toilet four tickets
7325,the toilet is dirty
7326,the toilet is dirty
7327,can you give me a hairdryer
7328,can you give me a hairdryer
7329,where can i buy a hairdryer
7330,can i have two tickets to london
7331,i want to leave at eight o'clock tomorrow
7333,my name is andrew
7334,i am from america
7335,i
7336,my name is john
7337,i have three tickets
7338,i am from england
7339,i am from england
7340,can i have a ticket to westminster
7341,i want to pay with visa
7342,can i pay with visa
7343,i want to pay with swiss francs
7344,can i pay with swiss francs
7345,no i do not have a reservation
7346,i'd like a room for four nights
7347,i'd like a single room
7348,i like to pay with credit card
7349,i would like to pay with swiss francs
7350,is there a hotel bar
7351,where is the hotel bar
7352,i am good
7353,i like boots
7354,i would like some boots
7355,i would like to have boots
7356,i would like some boots
7357,i like boots
7358,thirty eight
7359,thirty eight
7360,i would like a sweatshirt
7361,i would like a brown sweatshirt
7362,grand
7363,i am fine
7364,how much is this
7365,the t-shirt is too expensive
7366,i would like a tea
7367,i would like the steak
7368,i want a steak
7369,i want my steak blue
7370,i want a goulash soup
7372,the dessert menu
7373,i want the rhubarb cake
7374,i want the bill
7375,i want to pay with visa
7376,can i pay with visa
7377,i want three tickets to london
7378,i would like three tickets to london
7379,i would like three tickets to london
7380,i want to leave at five o'clock
7381,my name is john
7382,i'm fine
7383,my name is john
7384,i'm from france
7385,i am from france
7386,my name is patrick
7387,i am from france
7388,the capital from france is paris
7389,i have a ticket for
7390,i have one younger brothers
7391,i go to holidays
7392,i am going on holidays
7393,yes this is my passport
7394,i want a ticket to westminster
7396,i want three tickets for the musical
7397,i would like to pay three musical tickets
7399,i want three tickets for tuesday night
7400,i want three tickets for the musical
7401,three tickets for starlight express
7402,i want three tickets for starlight express
7403,i want three tickets for starlight express
7404,i would like to sit in the middle
7405,i want tickets for the science museum
7406,i want four tickets
7407,i want a still water
7408,i would like the sunday roast
7409,i would like my sunday roast well done
7410,i would like some jeans
7411,this is not what i ordered
7412,this is not what i ordered
7413,i want the dessert card
7414,can i have the dessert card
7415,the dessert menu please
7416,i want the lemon lemon cake
7417,i want to go
7419,i want to pay with credit card
7420,i would like to pay by post card
7421,no i do not have a reservation
7422,i would like a room for six nights
7423,i would like a twin twin room
7424,i would like to pay with visa
7425,is there a swimming pool
7426,i want a room for one one week
7427,a double room
7428,i want to pay with mastercard
7429,you can't use help at the silver level please i want to pay with credit card
7430,i want to pay with credit card
7431,is there a swimming pool
7432,where is the swimming pool
7433,my toilet is dirty
7434,where is it hasn't got shampoo
7435,i am going there is no shampoo
7436,can room there was no shampoo
7437,no i do not have a reservation
7438,i want a room for two nights
7439,junior suite
7440,i want to pay with post card
7441,i want to pay with swiss francs
7442,i would like to pay with swiss francs
7444,is there a green grocer
7445,where is the hairdresser
7446,i want a room for two nights
7447,can i have a room for two nights
7450,i want three suite
7451,i want to pay with post card
7452,i want to pay with euros
7453,is there a hotel restaurant
7454,where is the hotel restaurant
7455,no i do not have a reservation
7456,i want a room for three nights
7457,a double room
7458,can i have a double room
7459,i want to pay with mastercard
7460,is there a fitness studio
7461,i do not have a reservation
7462,i want a room for six nights
7463,junior suite
7464,junior suite
7466,i want to pay with post card
7467,is there a hairdresser
7468,is there a green grocer
7469,is there a grocery
7470,no i do not have a lift
7471,no i do not have a lift
7472,i want a room for one week
7473,can i have two tickets to london
7474,i want five tickets to london
7475,i want five tickets to london
7476,i would like five tickets to london
7478,my name is paolo
7479,my name is paolo
7480,my name is paolo
7481,i'm from america
7482,i would like four tickets to london
7483,i would like to leave at thursday evening
7484,i want to leave on tuesday evening
7485,my name is nick
7486,my name is nick
7487,i am from spain
7488,i would like six tickets to london
7489,i would like to leave at eight o'clock tomorrow
7490,my name is barbara
7491,i am from ireland
7492,i would like two tickets to london
7493,i would like to leave on sunday nights
7494,my name is michelle
7495,i am from france
7496,i would like five tickets to london
7497,i would like to leave at three o'clock tomorrow
7498,i want to leave at eight o'clock tomorrow
7499,i want to leave at eight o'clock tomorrow
7500,my name is silvia
7501,i am from england
7502,i would like four tickets to london
7503,i would like four tickets to london
7504,i want to leave at seven o'clock tomorrow
7506,i want to leave at seven o'clock tomorrow
7507,my name is patrick
7508,i am from ireland
7509,i would like a ticket to london
7511,how much is this
7513,i am good
7515,i will pay
7516,my name is nick
7517,my name is nick
7518,my name is nick
7519,i am from italy
7520,i would like two tickets to london
7522,i would like two tickets to london
7523,i want to leave on sunday morning
7524,my name is barbara
7525,i am from england
7526,my name is nick
7527,i am from france
7528,france is not in africa
7529,i'm from german
7530,apple pee
7531,the capital from france is paris
7532,i have four younger sisters
7533,i have two younger sisters
7534,i am going on holidays
7535,that's my passport
7536,yes it is my passport
7537,yes it is my passport
7538,my name is maddalena
7539,i'm from switzerland
7540,i am from switzerland
7541,the capital from switzerland is bern
7542,i have four older brothers
7543,i have a little i have three older brothers
7544,i have four older brothers
7545,i going on holidays
7546,yes this is my passport
7547,my name is paolo
7548,i am from scotland
7549,my name is patrick
7550,i am from america
7551,my name is maddalena
7552,i am from portugal
7553,the capital from portugal is lisbon
7554,i have two older brothers
7555,i'm going on holidays
7556,yes this is my passport
7557,my name is andrew
7558,i am from australia
7559,my name is brian
7560,i am from england
7561,my name is brian
7562,i'm from italy
7563,the capital from italy is rome
7566,can i pay with mastercard
7567,i am
7568,is there a gym
7569,no i do not have a reservation
7570,i want a room for two nights
7571,a twin room please
7573,i want a room for six nights
7574,i want to boots
7575,can i pay with visa
7576,do you have a lift
7577,where is the lift
7578,i would like jeans
7579,i want to pay with
7580,i want boots
7581,i would like my steak well done
7582,i would like some boots
7583,the dessert menu please
7584,i would like the scones
7585,i would like boots
7586,i would like boots
7587,i would like to pay by post card
7588,i would like a still water
7589,i want a steak
7590,i would like my steak medium
7591,i would like a room for two nights
7592,i would like the soup of the day
7593,i would like the soup of the day
7594,this is not what i ordered
7595,the dessert menu please
7596,the dessert menu please
7597,i would like the chocolate menu please
7598,i would like two tickets
7599,i want blue i would like to pay by post card
7600,i would like to pay by post card
7601,i'm looking for the national gallery
7602,i want two nights
7603,switzerland nights
7604,which bus goes there
7605,the tower is near tower bridge
7606,i boots
7607,i boots
7608,i'm looking for sandals
7609,do you have white sandals
7610,i am from france
7611,i am from boots
7612,i am looking for looking for jeans
7613,brown jeans
7614,i am a small
7615,how much does it cost
7616,please too expensive
7617,i would like to buy four musical tickets
7618,i want four tickets for monday nights
7619,i want four tickets for starlight express
7620,i want to sit in the eight row
7622,can i have two tickets
7623,could you give me a ticket to westminster
7624,can i pay with visa
7625,can i pay with visa
7626,can i pay with pounds
7628,my name is maddalena
7629,i am from portugal
7630,the capital of portugal is nick
7631,i have two brothers
7632,i am going on holidays
7633,yes it is my passport
7634,i want a room for seven nights
7635,i want a suite
7636,can i pay by credit card
7637,is there a grocery store
7638,i would like a suite
7639,i would like a tea
7640,i want to pay
7641,i would like my steak blue
7642,can i have mashed potato
7643,i don't have a reservation
7644,i don't have a reservation
7645,i don't have a reservation
7646,i haven't a reservation
7647,i haven't a reservation
7648,i am boots
7649,i don't have a reservation
7651,i would like a suite
7652,i want a jeans
7653,i would like a jeans
7654,i want a suite
7655,i would like my steak rare
7656,i would like some jeans
7657,this is not what i ordered
7658,the dessert menu please
7659,the dessert menu please
7661,i would like a coffee
7662,i would like a hamburger
7663,i would like my hamburger well done
7664,i'd like a water please
7665,i am fine
7666,i have a ticket for two nights
7667,the dessert menu please
7668,i am fine
7669,i would like the rhubarb pie
7670,i would like a room for six nights
7671,i would like a tickets
7672,can i pay with mastercard
7673,i want an orange juice
7674,i want a steak
7675,i want my steak well done
7676,i am from
7677,i am fine
7678,i want on sunday evening
7679,am nights
7680,this is not what i ordered
7681,the dessert menu please
7682,i want the dessert menu please
7683,that's monday evening
7684,i would like the check
7685,i would like to pay by post card
7688,i want sandals
7689,i would like a hamburger
7690,i am
7691,i would like a large
7692,i want a room for two nights
7693,can i have the soup of the day
7694,the dessert menu please
7695,i would like the raspberry sorbet
7697,i want to pay with mastercard
7698,i want a carbonated water
7699,i want a carbonated water
7700,i want a room for five nights
7701,can i have a suite
7702,i want to pay with visa
7703,i want to pay with swiss francs
7704,i want to pay with swiss francs
7705,i want to pay with swiss francs
7706,is there a hairdresser
7707,where is the hairdresser
7708,i haven't a reservation
7710,i don't have a reservation
7711,i have no reservation
7712,i have no reservation
7713,i don't have a reservation
7714,i don't have a reservation
7715,i am i no have a reservation
7716,i have no reservation
7717,i don't have a reservation
7718,i am good
7719,i would like some boots
7720,red boots please
7721,i am a thirty seven
7722,i want a shirt
7723,i want shirt please
7724,i am a small
7725,this is too big
7726,i do not want this shirt
7727,no i do not want this
7728,i am good
7729,i am looking for sandals
7730,do you have white sandals
7731,i am a forty suite
7732,i am looking for jeans
7733,junior suite
7734,i am a small
7735,how much does the jeans jeans cost
7736,is too expensive
7737,i'm good
7738,i am looking for sandals
7741,i am looking for sweatshirt
7742,can i have a brown t-shirt
7744,how much cost it
7746,i'm good
7747,i am looking for boots
7748,can i have white boots
7749,i am a thirty seven
7750,i am looking for jeans
7751,can i have a white jeans
7752,i am a small
7753,it is too small
7754,i don't want this jeans
7755,i do not want this jeans
7756,i don't want holidays
7757,i don't want this
7758,i'm good
7759,i am looking for boots
7760,can i have white boots
7761,i am a forty one
7762,can i have a shirt
7763,four tickets to london
7764,i want to leave at nine o'clock tomorrow
7765,my name is paul
7766,my name is paul
7767,i'm from scotland
7768,a room for seven nights
7769,a double room
7770,double room
7771,double room
7772,can i pay with visa
7774,can i pay with euros
7776,is there a hairdresser
7778,no i do not have a reservation
7779,a room for two nights
7780,a room for two nights
7781,i would like a room for three nights
7782,i would like a double room
7783,i want pay with post card
7784,i would like to pay by post card
7785,i would like pay by post card
7786,is there a swimming pool
7787,where is the swimming pool
7788,i would like a room for three nights
7789,i'd like a room for three nights
7790,i'd like a junior suite
7791,i would like pay by mastercard
7792,is there a hotel bar
7793,where is the hotel bar
7794,my room is dirty
7795,in the room there isn't a hairdryer
7796,i could not find any hairdryer
7797,where can i buy portray
7798,where can i buy a hairdryer
7799,where can i buy a hairdryer
7800,i would like a room for one week
7801,i would like a double room
7803,is there a hairdresser
7804,where is the hairdresser
7805,where is the hairdresser
7806,i don't have a reservation
7807,i have not a reservation
7808,i would like a room for four nights
7809,i would like a suite
7810,i would like pay by mastercard
7811,i would like pay by mastercard
7812,is there a swimming pool
7813,is there a supermarket
7814,is there a supermarket
7815,i have not a reservation
7816,i have not a reservation
7817,i haven't got a reservation
7819,i have not a reservation
7820,i don't have a reservation
7821,i have not a reservation
7822,i have not a reservation
7823,i would like a room for three nights
7824,i would like a double room
7825,i would like pay by card
7826,i would like pay by mastercard
7827,is there a lift
7828,where is the lift
7829,i have not a reservation
7830,i have not a reservation
7831,i have not a reservation
7832,i have not a reservation
7833,i have not a reservation
7834,i have no reservation
7835,i would like one musical ticket
7836,i would like one musical ticket
7837,i would like tickets for wednesday evening
7838,i would like one ticket for the phantom the german
7839,i would like sit in the eight street
7840,i want to sit in the eighth row
7841,i would like tickets for madame tussauds
7842,i would like four tickets
7843,i would like one musical ticket
7844,i would like one ticket for tuesday evening
7845,i would like one ticket for the phantom brokered
7846,i want to sit in the ninth row
7847,i would like to sit in the ninth row
7848,i would like tickets for the national gallery
7849,i would like one ticket
7850,i would like two musical tickets
7851,i would like three musical tickets
7852,i would like to go on monday evening
7853,i would like three tickets for king the lion
7854,i would like three tickets for two nights
7856,i want to sit in the second row
7857,i would like to sit in the second brothers
7858,i would like tickets for the national gallery
7859,i would like tickets for the national gallery
7860,i would like two tickets
7861,i would like three tickets to london
7862,i would like to leave on tuesday
7863,my name is james
7864,i'm from france
7865,i would like three tickets to london
7866,i would like to leave tomorrow on seven o'clock
7867,my name is andrew
7868,i'm from spain
7869,i would like six tickets to london
7870,i would like to leave next week
7871,how much is it
7872,how much cost
7873,how much does it cost
7876,this is okay
7877,my name is maddalena
7878,i'm from switzerland
7879,i would like four tickets to london
7880,i would like to leave on sunday afternoon
7881,my name is thomas
7882,i'm from germany
7883,i would like two tickets to london
7884,i would like to leave on saturday evening
7885,my name is paolo
7886,i'm from scotland
7887,i would like six tickets to london
7888,i would like to leave on tuesday
7889,my name is patrick
7890,i'm from switzerland
7891,i would like four tickets to london
7892,i would like to leave on friday
7893,my name is patrick
7894,i'm from switzerland
7895,i would like six tickets to london
7897,my name is maddalena
7898,i'm from italy
7899,i would like four tickets to london
7900,i would like to leave on thursday morning
7901,how much does it cost
7903,this is okay
7904,my name is maddalena
7905,i'm from austria
7906,i would like three tickets to london
7907,i would like to leave on sunday evening
7908,my name is stephanie
7909,i'm from portugal
7910,i would like a sparkling water
7911,i would like the sunday roast
7912,i would like my sunday roast rare
7913,i would like a junior suite
7914,i would like a goulash soup
7915,i would like a i would like the dessert card
7916,the dessert menu
7917,i would like the dessert card
7918,i would like a mastercard
7919,i would like the bill
7920,i would like the check
7921,i would like pay with mastercard
7922,i would like a water with forty
7923,i would like a still water
7924,i would like the sunday roast
7925,i would like my sunday roast rare
7926,i would like a musical switzerland
7927,this is not what i ordered
7929,the dessert menu
7930,the dessert menu
7931,i would like a sparkling water
7932,i would like the sunday roast
7933,i would like my sunday roast well done
7934,i would like a mixed little
7935,this is not what i ordered
7936,the dessert menu please
7937,i would like a twin room
7938,i would like carrot cake
7939,i would like the check
7940,i would like pay with mastercard
7941,i would like a fanta
7942,i would like the sunday roast
7943,i would like the sunday roast
7944,i would like the sunday roast
7945,i would like my sunday roast medium
7946,i would like a goulash soup
7947,the dessert card please
7948,the dessert menu please
7949,i would like a junior suite
7950,i would like the check
7951,i would like pay with credit card
7952,i would like a tea
7953,i would like a hamburger
7954,i would like my hamburger well done
7955,i would like french fries
7956,i would like french fries
7958,this is not what i ordered
7959,i would like to buy with manager
7960,i would like the custard tart
7961,i would like the cost large
7962,i would like the dessert card please
7964,the dessert menu please
7965,i would like the vanilla ice cream
7966,i would like the check
7967,i would like pay with visa
7968,i would like a orange juice
7969,i would like the sunday roast
7970,i would like the sunday roast
7971,i would like my sunday roast rare
7972,i would like french fries
7975,the dessert menu please
7976,i would like the cost post card
7977,i would like the check
7979,i would like a coffee
7980,i would like the sunday roast
7981,i would like my sunday roast rare
7982,i would like brown jeans
7983,this is not what i ordered
7984,i would like pay with manager
7985,i would like the suite ordered
7986,the dessert menu please
7989,i would like pay with mastercard
7990,i would like a suite
7991,i would like the sunday roast
7992,i would like a sunday roast
7993,i would like my sunday roast rare
7994,i would like mushrooms
7995,the dessert menu please
7997,i would like the check
7998,i would like pay with visa
7999,i would like a coffee
8000,i would like a hamburger
8001,i would like my hamburger rare
8002,i would like brown jeans
8003,i would like jeans
8004,this is not what i ordered
8005,i would like to pay with master
8006,i would like the eat dollars
8007,i want the four sisters
8008,i would like of the order
8009,the dessert menu please
8012,i would like the check
8013,i would like pay with mastercard
8014,i'm looking for the natural history museum
8015,i'm looking for the natural history museum
8016,where is the natural history museum
8017,where is madame tussauds
8018,which bus goes there
8020,where is the tate modern
8021,where is oxford street
8022,which bus goes there
8023,how much paul cathedral is near of the germany
8024,for pauls cathedral is near bank of england
8025,saint pauls cathedral is near the bank of england
8026,where is the national gallery
8027,where is the piccadilly circus
8028,where is the piccadilly circus
8029,which bus goes there
8030,the tower is near tower bridge
8031,where is the science museum
8032,where is the tower
8033,where is the tower
8034,where is the tower
8035,marble arch is piccadilly room i park
8036,marble arch is with steak to hyde park
8037,where is the natural history museum
8038,where is the tower
8039,where is the tower
8040,where is the tower
8041,this is near bank of england
8042,where is the zoo
8043,where is the tower
8044,where is the tower
8045,where is the tower
8046,this is near bank of england
8047,where is the national gallery
8049,where is the london eye
8050,which bus goes there
8051,big ben is next to the houses of parliament
8052,i don't know
8053,i would like to go
8054,i would like to go
8055,i'm fine
8056,i would like boots
8057,i would like red boots
8058,i would like london forty two
8059,forty-two please pay
8060,i am a forty two
8061,i would like a sweatshirt
8062,i want one ticket for billy elliot
8063,i would like to sit in the fifth row
8064,i want tickets for the science museum
8065,i need four tickets
8066,i want three musical tickets
8067,i want tickets for tuesday evening
8068,i want three tickets for starlight express
8069,i need a ticket for this musical
8071,i want to sit in the third seven
8072,i want tickets for the national gallery
8073,i need four tickets
8074,i want two musical tickets
8075,i want two tickets for thursday evening
8076,i would like two tickets for tuesday evening
8077,i want two tickets for two nights
8078,i want two tickets for billy elliot
8079,i want tickets for this musical
8080,i want to sit in the fourth row
8081,i want tickets for the natural history museum
8082,i want two tickets
8084,i do not have a reservation
8085,no i do not have not a reservation
8086,i want a room for six nights
8087,i want a double room
8088,i would pay with post card
8089,i would like to pay by post card
8090,is there a swimming pool
8091,where is the swimming pool
8092,i want a room for four nights
8093,i want a single room
8094,a single room please
8095,i want to pay by mastercard
8096,can i pay by mastercard
8097,is there a hotel restaurant
8098,where is the hotel restaurant
8099,the bathroom is dirty
8100,my bathroom is dirty
8101,the bathroom is dirty
8102,i could not find any hairdryer
8103,i will go
8104,i'm good
8105,i need boots
8106,i would like some boots
8107,i want some brown boots
8108,i would brown boots
8109,white boots
8110,thirty brothers
8111,forty one
8112,i am a forty one
8113,i would like a t-shirt
8114,i would like a brown t-shirt
8115,i need small
8116,how much is this
8117,this is too expensive
8118,i'm good
8119,i am looking for trousers
8120,i would like white sandals
8121,i need thirty seven
8122,i am a thirty seven
8123,i am a thirty seven
8124,i would like a t-shirt
8125,i want a red t-shirt
8126,i need small
8127,this is too big
8129,i do not want this t-shirt
8130,i do not want this t-shirt
8132,no i do not want this
8134,i would like a steak
8135,i want the steak
8136,i want the steak
8137,i would like my steak well done
8138,can i have mashed potato
8139,i would like the dessert card
8142,i want a ticket to piccadilly circus
8144,i want a ticket to the trafalgar square
8145,i want to pay by visa ah i want pay by visa
8146,can i pay by visa
8148,can i pay with euros
8149,i need a room for seven nights
8150,i need a junior suite
8152,i want pay with post card
8153,i want to pay with post card
8154,is there a grocery store
8155,i don't have any reservation
8156,i don't have any reservation i don't i don't have a reservation
8157,no i do not have a reservation
8159,i want with visa
8160,i want four musical tickets
8161,small
8162,sorry i don't have a reservation
8166,junior suite
8168,is there a swimming pool
8169,where is the swimming pool
8170,four tickets to london
8171,i want to leave at eight o'clock tomorrow
8172,i want to leave at eight o'clock tomorrow
8173,i want to leave at eight o'clock tomorrow
8174,my name is jack
8175,i am from ireland
8176,my name is barbara
8177,i am from england i am from england
8178,i want a ticket to piccadilly circus
8179,i don't have a reservation
8180,no i do not have a reservation
8181,i would like a room for seven nights
8182,a suite
8184,is there a hotel restaurant
8185,where is the hotel restaurant
8186,my bathroom is dirty
8187,where is the hairdryer
8188,where can i buy a hairdryer
8189,four tickets to london please
8190,i i want i want i want to leave at two pm
8191,i want to leave at two o'clock
8192,my name is patrick
8193,i am from england
8194,five tickets to london
8195,i want to leave at thursday afternoon
8196,my name is paolo paolo
8197,i'm from canada
8198,can i have a room for seven nights
8199,can i have a double room
8200,can i have a double room
8202,do you have a hotel bar
8203,where is the hotel bar
8204,can i have a room for three nights
8206,i would like to pay with mastercard
8207,do you have a hairdresser
8208,i haven't got a hairdryer
8209,is there a hairdresser
8210,where is the hairdresser
8211,i would like three tickets for london
8212,i would like three tickets to london
8213,i would like to leave tomorrow
8214,my name is james
8215,i'm from england
8216,my name is janet
8217,i'm from hotel
8218,i am from australia
8219,can i would like a ticket to notting hill
8220,i would like to pay with post card
8222,i would like to pay with swiss francs
8223,can i pay with swiss francs
8225,i don't have a reservation
8226,no i do not have a reservation
8228,i would like a room for three nights
8229,i would like a single room
8230,i would like to pay with post card
8231,i would like to pay with euros
8232,is there a hotel restaurant
8233,can i have six tickets to london
8234,i would like to leave on monday afternoon
8235,how much does it cost
8236,is there a ticket tickets
8237,i want a ticket tickets
8238,that's okay
8239,my name is michelle
8240,i'm from spain
8241,my name is sarah
8242,i'm from the nights please
8243,i'm from america
8244,can i have a ticket to notting hill
8245,i would like to pay with credit card
8247,i only have large bills
8248,i would like to pay with credit card
8249,can i pay with credit card
8251,can i have one musical ticket
8252,can i have a ticket for wednesday evening
8253,can i have tickets for billy elliot
8254,i would like a ticket for billy elliot
8255,i want one ticket for billy elliot
8256,i would like to sit in the middle
8257,can i have tickets for the national gallery
8258,could i have four tickets
8259,can i have a orange juice
8260,i would like an orange juice
8261,i would like the sunday roast
8262,i would like my sunday roast rare
8263,could i have some is mashed potato
8264,could i have the dessert card
8265,the dessert menu please
8266,i would like the trifle
8267,i would like the check
8268,i would like to pay with credit card
8269,where is the british museum
8270,where is the piccadilly circus
8271,which bus to the steak
8273,i'm good
8274,can i have some boots
8275,i would like blue boots
8276,i would like a single room
8277,could i have blue boots
8278,i would like a room for four nights week
8281,can i pay with visa visa
8282,do you have a lift
8283,who is the lift
8284,i want four tickets to london
8285,i want to leave to leave next week
8286,i would like to leave next week
8287,my name is silvia
8288,i coming from spain
8289,i am from spain
8290,my name is thomas
8291,i'm from french my from pie
8292,i'm from france
8293,tickets the capital of france is paris
8294,i have one sister
8295,i am going on tuesday lion
8296,this is my pass
8297,i need a ticket to green park
8299,i would like to pay by post card
8300,i would like pay by post card
8302,i would like to buy with four musical tickets
8303,i would like to go on thursday evening
8304,i want four tickets for the lion king
8305,i would like to sit in the fourth row
8306,i would like tickets for the national gallery
8307,i would like three tickets
8308,i would like a still water
8309,i would like the sunday roast
8310,i would like my sunday roast roast medium
8311,i would like some jeans
8312,the dessert menu please
8313,i would like the scones
8314,i would like the check
8315,can i pay with visa
8316,who is the british museum
8317,i am london eye
8318,where is the london eye
8319,which bus goes three
8320,big ben is next to i the house of italian
8321,i'm good
8322,can i pay with visa
8323,i would like some boots
8324,brown boots please
8325,thirty seven
8326,can i pay a hairdryer
8327,i want a shirt
8328,a red t-shirt
8329,a red shirt
8330,i'm a large
8331,how much is this shirt
8332,it is too expensive
8351,i want a room for one week
8352,i would like a double room
8353,i would like to pay by post card
8354,is there a hotel restaurant
8355,there is a hotel restaurant
8356,where is the hotel restaurant
8357,i would like to buy three musical tickets
8358,i want three tickets for tomorrow night
8359,i want three tickets for the like
8361,i want three tickets for wicked
8362,i want to sit in the first row
8363,i would like tickets for the national history museum
8364,can i have two tickets
8365,can i have two tickets
8366,i would like a tea
8367,i want the steak
8368,i would like my steak well done
8369,i would like some peas
8370,the dessert menu please
8374,i want the steak for five nights
8375,double room
8376,can i pay with the credit card please the suite
8377,is there a hotel restaurant
8378,where is the hotel restaurant
8380,i want a room for two nights
8381,i would like to pay with dollars
8382,do you have a lift
8383,is there a lift
8384,is there a lift
8385,is there a swimming pool
8386,where is the gym
8387,is there a hairdresser
8388,where is the hairdresser
8389,can i have a room for three nights
8390,is there a hairdresser
8391,where is the hairdresser
8395,can i pay with visa
8396,can i pay with visa
8397,can i pay with visa
8398,i would like a single room please
8399,i would like a single room please
8400,where is the swimming pool
8401,is there a lift
8402,is there a lift
8403,is there a lift
8404,where is the lift
8405,where is the lift
8406,i would like the steak
8407,i would like my steak medium
8408,i would like my steak well done
8409,i would like a ticket to hill
8410,can i have the dessert menu
8411,i would like the raspberry sorbet
8413,can i pay with visa
8414,can i pay with visa
8415,can i pay with visa
8416,i would like pay with visa
8417,i would like the dessert
8418,i would like the soup of the day
8419,can i have the dessert menu
8420,i would like the for
8421,i would like the trifle
8422,i would like the check
8424,i would like jeans
8425,can i have the dessert menu
8430,i want to pay with dollars
8431,my name is mona
8432,is there the supermarket
8433,a ticket to notting hill
8434,is there a hotel bar
8435,can i have a ticket to london
8436,a room for five nights
8437,a room for five nights
8439,a single room
8440,is there a hotel bar
8441,where is the hotel bar
8442,i would like to leave tomorrow at is this coast
8444,i would like to blue with visa
8445,a suite
8446,much sisters
8447,a suite
8448,i have four sisters
8449,i have four sisters
8451,i'm going to holidays
8452,i want a room for four nights
8455,this is my passport
8456,this is my passport
8457,my name is erica
8458,i'm from portugal
8462,the capital of austria is room
8463,i have four younger brothers
8464,i'm from museum for holidays
8465,i go on holidays
8466,i'm going to holidays
8467,yes this is my passport
8468,this is my passport
8469,this is my passport
8470,to have a ticket to westminster
8472,i would like to pay with mastercard
8473,a tickets for two nights
8474,i want two tickets for wednesday nights
8475,two tickets for wicked
8476,i want two tickets for wicked
8477,i want to sit in the sixth boots
8478,tickets for the national gallery
8480,i want tickets
8481,i want a steak
8482,i would like my steak medium
8483,a museum
8484,i want a museum
8485,can i have a junior suite
8486,i want a goulash soup
8487,the dessert menu
8488,sis sisters boots
8493,i would like to pay with my credit card
8494,i would like three tickets
8496,can i have boots
8498,boots
8499,blue boots
8500,thirty nine
8501,thirty nights
8503,can i pay with dollars
8504,do you have a lift
8505,where is the lift
8506,i would leave at a four o'clock p m
8507,i would like to leave tomorrow at four o'clock p m
8508,my name is barbara
8509,i am from scotland
8510,a room for five nights
8511,junior suite
8512,is there a hairdresser
8513,is there a hairdresser
8514,where is the hairdresser
8515,a room for two nights
8516,a double room
8517,i would like a double room
8518,is there a hotel bar
8519,where is the hotel bar
8520,i would like a twin room
8521,a twin room please
8522,is there a hairdresser
8523,where is the hairdresser
8524,can i have a room for one thirty
8525,i would like a single room
8527,a swimming pool
8528,is there a swimming pool
8529,where is the swimming pool
8530,i would like a single room
8531,i would like a single room please
8532,is there a supermarket
8533,is there a supermarket
8535,a single room please
8536,a single room
8538,i want to pay with visa
8539,is there a swimming pool
8540,where is the swimming pool
8541,junior suite please
8542,is there a fitness centre
8543,i would like a suite
8544,is there a hairdresser
8545,where is the hairdresser
8546,double room
8547,is there a hotel bar
8548,where is the hotel bar
8550,my name is
8551,is there a lift
8552,a hairdresser
8553,is there a hairdresser
8554,where is the hairdresser
8556,i want to leave on tuesday morning
8557,i'm from spain
8558,i would like a ticket to london
8559,my name is silvia
8560,i would like a m
8561,i would like to leave at one p m tomorrow
8562,i would like to leave tomorrow one p m
8563,my name is michelle
8564,i'm from austria
8565,i want to leave at eight o'clock tomorrow
8566,i'm from ireland
8567,i'm from ireland
8568,i would like five tickets to london
8570,i am from canada
