Id,RecResult,Confidence
1700,my name is andy,1.0 1.0 1.0 1.0
1701,i'm from canada,0.9 1.0 1.0
1702,my name,1.0 1.0
1703,my name is paul,1.0 1.0 1.0 0.79
1704,i'm from germany,0.88 1.0 1.0
1705,germany is not in africa,1.0 1.0 1.0 0.89 1.0
1706,germany is in europe,1.0 1.0 1.0 1.0
1707,the capital of germany is berlin,1.0 1.0 1.0 1.0 1.0 1.0
1708,i have four older sisters,1.0 1.0 1.0 1.0 1.0
1709,i going into holidays,0.99 0.89 0.4 1.0
1710,yes it is my passport,1.0 1.0 1.0 1.0 1.0
1711,my name is john,1.0 1.0 1.0 1.0
1712,i am from italy,0.58 0.58 1.0 1.0
1713,italy is not in africa,1.0 1.0 1.0 0.99 1.0
1714,it,0.69
1715,italy is in europe,1.0 1.0 1.0 1.0
1716,the capital from italy is rome,0.45 0.97 0.99 1.0 1.0 1.0
1717,i have three older sisters,1.0 1.0 0.99 1.0 1.0
1718,i in the holidays,1.0 0.55 0.64 1.0
1719,yes that's my passport,1.0 0.99 1.0 1.0
1720,my name is andy,1.0 1.0 1.0 1.0
1721,i'm from switzerland,0.99 1.0 1.0
1722,switzerland is not in africa,1.0 1.0 1.0 1.0 1.0
1723,switzerland is in europe,1.0 1.0 1.0 1.0
1724,the capital of switzerland is bern,1.0 1.0 1.0 1.0 1.0 1.0
1726,i have three brothers,1.0 1.0 1.0 1.0
1727,i go in the holidays,1.0 1.0 0.99 0.91 1.0
1728,yes that's my passport,1.0 0.66 1.0 1.0
1730,i would like to buy by post card,1.0 1.0 1.0 1.0 1.0 1.0 0.79 0.79
1732,i would like to buy three musical tickets,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1733,i would like to go on wednesday evening,1.0 1.0 1.0 1.0 1.0 0.97 1.0 1.0
1734,i would like three tickets to the lion,1.0 1.0 1.0 0.99 1.0 1.0 1.0 0.77
1735,i want three tickets for the lion king,1.0 1.0 1.0 1.0 1.0 0.99 1.0 1.0
1736,i would like to sit in the tenth row,1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.97 0.65
1737,i would like tickets for the natural history museum,0.98 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1738,i need four tickets,1.0 1.0 1.0 1.0
1739,i would like a tea please,1.0 1.0 1.0 1.0 1.0 1.0
1740,i would like the steak,1.0 1.0 1.0 0.87 1.0
1741,i would like my steak medium,1.0 1.0 1.0 1.0 1.0 1.0
1742,i would like some peas,1.0 1.0 1.0 1.0 0.98
1743,i would like the dessert dessert card,1.0 1.0 1.0 0.95 0.77 0.93 1.0
1744,the dessert menu please,1.0 1.0 1.0 1.0
1745,could i have the vanilla ice cream,0.86 1.0 1.0 1.0 1.0 1.0 1.0
1746,could i have one i have the vanilla ice cream,0.94 1.0 1.0 0.83 1.0 1.0 1.0 1.0 1.0 1.0
1747,can i have the vanilla ice cream,0.57 1.0 1.0 1.0 1.0 1.0 1.0
1748,i would like the bill,1.0 1.0 1.0 1.0 1.0
1749,i would like the check,1.0 1.0 1.0 1.0 1.0
1751,i would like to pay by post card,1.0 1.0 1.0 1.0 1.0 1.0 0.95 0.95
1752,i would like a room for three nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1753,can i have a suite,1.0 1.0 1.0 1.0 1.0
1754,i would like to buy by credit card,1.0 1.0 1.0 0.91 0.96 0.98 1.0 0.5
1755,is there a green trousers,1.0 1.0 1.0 0.54 0.41
1756,i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0
1757,i would like a room for four nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1758,i would like a twin zimmer,1.0 1.0 1.0 1.0 1.0 1.0
1759,i would like pay by mastercard,1.0 1.0 1.0 0.91 1.0 0.97
1760,is there a fitness studio,1.0 1.0 1.0 1.0 1.0
1761,where is the fitness studio,1.0 1.0 1.0 1.0 1.0
1762,i would like a room for six nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1763,i would like a twin room,1.0 1.0 1.0 0.97 1.0 1.0
1764,i would like pay by mastercard,1.0 1.0 1.0 0.95 1.0 0.99
1765,i would like to buy with switzerland francs,1.0 1.0 1.0 0.7 0.95 1.0 0.96 0.8
1766,is there a lift,1.0 1.0 1.0 1.0
1767,where is the lift,1.0 1.0 1.0 1.0
1768,i would like a room for two nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1769,i would like a twin zimmer,1.0 1.0 1.0 0.99 0.95 0.95
1770,i would like pay by visa,1.0 1.0 1.0 1.0 1.0 1.0
1771,is there a hotel restaurant,1.0 1.0 1.0 1.0 1.0
1772,i would like a room for seven nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1773,i would like a twin room,1.0 1.0 1.0 0.99 1.0 1.0
1774,i would like pay by visa,1.0 1.0 0.99 0.94 0.99 1.0
1775,is there a green grocer,1.0 1.0 1.0 0.78 0.86
1776,is there a swim grocer,1.0 1.0 0.99 0.48 0.42
1777,where is the green trousers,1.0 1.0 0.99 0.61 0.39
1778,where is the grocery,1.0 1.0 1.0 0.58
1779,my room is my pass,1.0 1.0 1.0 0.59 0.6
1781,my room is australia,1.0 0.98 1.0 0.49
1782,my room haven't got a musical,1.0 1.0 1.0 1.0 0.61 0.77
1783,my room haven't got a twin room,1.0 1.0 1.0 1.0 1.0 0.57 0.9
1785,i'm fine thanks,0.99 1.0 1.0
1786,i'm good,0.79 0.8
1787,i would like some boots,1.0 1.0 1.0 1.0 1.0
1788,brown boots,1.0 1.0
1789,i am a thirty six,1.0 1.0 1.0 0.93 0.93
1790,i am looking for trousers,1.0 1.0 1.0 1.0 1.0
1791,red trousers please,0.9 1.0 1.0
1792,francs,0.92
1793,i am a large,1.0 1.0 1.0 1.0
1794,i want this,0.85 0.85 0.83
1795,that's too jeans,1.0 0.98 0.96
1796,it's too expensive,0.55 1.0 1.0
1797,where is the science museum,1.0 1.0 1.0 1.0 1.0
1798,where is the science museum,1.0 1.0 1.0 1.0 1.0
1799,where is the science museum,1.0 1.0 1.0 1.0 1.0
1800,where is the tower,1.0 1.0 1.0 1.0
1801,can you give me directions to the towel london,1.0 1.0 1.0 1.0 1.0 1.0 0.96 0.6 0.9
1802,which bus goes there,1.0 1.0 1.0 1.0
1803,marble arch is opposite hyde park,1.0 1.0 1.0 1.0 1.0 1.0
1804,i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0
1805,i would like a room for four nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1806,can i have a junior suite,1.0 1.0 1.0 1.0 1.0 1.0
1807,can i pay by visa,1.0 1.0 1.0 1.0 1.0
1808,is there a swimming pool,1.0 1.0 1.0 1.0 1.0
1809,i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0
1810,i would like a room for four nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1811,i would like a suite,1.0 1.0 1.0 1.0 1.0
1812,i would like pay by visa,1.0 1.0 1.0 0.94 1.0 1.0
1813,is there a hairdresser,1.0 1.0 1.0 1.0
1814,my name is erica,1.0 1.0 1.0 1.0
1815,i'm from german,0.99 1.0 0.98
1816,germany is not in africa,1.0 0.64 0.63 0.86 1.0
1817,germany is in europe,0.97 1.0 1.0 0.99
1819,the capital of germany is berlin,1.0 1.0 1.0 0.64 1.0 1.0
1820,i have four younger brothers,1.0 1.0 0.44 1.0 1.0
1821,i'm fine thanks,0.93 1.0 1.0
1822,that's okay,0.78 0.83
1823,where is the natural natural history museum,1.0 1.0 1.0 1.0 1.0 1.0 1.0
1824,where is the oxford street,1.0 1.0 1.0 1.0 1.0
1825,which bus goes there,1.0 1.0 1.0 1.0
1826,the tower is near the tower bridge,1.0 1.0 1.0 1.0 0.94 1.0 1.0
1827,where is the science museum,1.0 1.0 1.0 1.0 1.0
1828,where is madame tussauds,1.0 1.0 1.0 1.0
1829,which bus goes there,1.0 1.0 1.0 1.0
1830,the tower is near the tower bridge,1.0 1.0 1.0 1.0 0.97 1.0 1.0
1831,where is the natural history museum,1.0 1.0 1.0 0.99 1.0 1.0
1832,where is madame tussauds,1.0 1.0 1.0 1.0
1834,marble arch is next to the hyde park,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1835,marble arch is opposite hyde park,1.0 1.0 1.0 1.0 1.0 1.0
1836,i would like to go,1.0 1.0 1.0 1.0 0.99
1837,sorry i need to go,0.98 0.98 0.98 0.98 0.98
1838,where is the national gallery,1.0 1.0 1.0 1.0 1.0
1839,where is the madame tussauds,1.0 1.0 0.52 1.0 1.0
1840,which bus go to,1.0 1.0 0.87 0.66
1841,marble arch is opposite hyde park,1.0 1.0 1.0 1.0 1.0 1.0
1842,sorry i would like to go,0.61 1.0 1.0 1.0 1.0 1.0
1843,where is the science museum,1.0 1.0 1.0 1.0 1.0
1844,where is the science museum,1.0 1.0 1.0 1.0 1.0
1845,where is the science museum,1.0 1.0 1.0 1.0 1.0
1846,where is madame tussauds,1.0 1.0 1.0 1.0
1847,which bus goes to,1.0 1.0 0.9 0.64
1848,the tower is near tower bridge,1.0 1.0 1.0 1.0 1.0 1.0
1849,where is the tate modern,1.0 1.0 1.0 1.0 1.0
1851,which bus go to,0.98 0.98 0.62 0.48
1852,which bus go to,1.0 1.0 0.82 0.65
1853,this is near the bank of england,1.0 1.0 1.0 0.97 1.0 1.0 1.0
1854,sorry i would like to go,1.0 1.0 1.0 1.0 1.0 1.0
1855,where is the science museum,1.0 1.0 1.0 1.0 1.0
1856,where is the science museum,1.0 1.0 1.0 1.0 1.0
1857,where is the science museum,1.0 1.0 1.0 1.0 1.0
1858,where is the london eye,1.0 1.0 1.0 1.0 1.0
1859,which bus goes there,1.0 1.0 1.0 1.0
1860,this,0.97
1861,saint pauls cathedral is near the bank of england,0.99 1.0 1.0 1.0 1.0 0.91 1.0 1.0 1.0
1862,saint pauls cathedral is near of the bank of england,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1863,where is the tate modern,1.0 1.0 1.0 1.0 1.0
1864,where is the oxford street,1.0 1.0 1.0 1.0 1.0
1865,which bus go to,1.0 1.0 0.72 0.67
1866,the tower is near the tower bridge,1.0 1.0 1.0 1.0 0.52 1.0 1.0
1867,where is the zoo,1.0 1.0 1.0 1.0
1868,where is the tower,1.0 1.0 1.0 1.0
1869,where is the tower,1.0 1.0 1.0 1.0
1870,where is the tower of england,1.0 1.0 1.0 1.0 1.0 1.0
1871,which bus go to,1.0 1.0 0.87 0.71
1872,which bus goes there,1.0 1.0 1.0 1.0
1873,the capital of spain pants is near the bank of england,1.0 1.0 1.0 0.74 0.36 0.9 1.0 1.0 1.0 1.0 1.0
1874,this is my pass capital ticket near the bank of england,0.84 0.81 0.65 0.65 0.92 0.77 0.99 0.99 1.0 1.0 1.0
1875,a red,1.0 0.81
1876,where is the british museum,1.0 1.0 1.0 1.0 1.0
1877,where is the big ben,1.0 1.0 1.0 1.0 1.0
1878,which bus goes there,1.0 1.0 1.0 1.0
1879,the tower is near tower bridge,1.0 1.0 1.0 1.0 1.0 1.0
1880,sorry i would like to go,0.89 1.0 1.0 1.0 1.0 1.0
1881,i would like tomorrow water,1.0 1.0 1.0 0.98 1.0
1882,i would like a sparkling water,1.0 1.0 1.0 1.0 1.0 1.0
1883,i would like a hamburger,1.0 1.0 1.0 1.0 1.0
1884,i would like my hamburger rare,1.0 1.0 1.0 1.0 1.0 1.0
1885,i would like a baked potato,1.0 1.0 1.0 1.0 1.0 1.0
1886,the dessert menu please,1.0 1.0 1.0 1.0
1887,i would like the scones,1.0 1.0 1.0 1.0 1.0
1888,i would like the bill i would like the dessert,1.0 1.0 1.0 0.97 0.95 1.0 1.0 1.0 0.82 0.73
1889,i would like a shirt,1.0 1.0 1.0 0.54 0.61
1890,i would like pay by visa,1.0 1.0 1.0 1.0 1.0 1.0
1891,i would like to buy by credit card,1.0 1.0 1.0 0.89 0.89 1.0 1.0 1.0
1892,i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0
1893,i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0
1894,i would like a room for one week,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1895,i would like a double room,1.0 1.0 1.0 1.0 1.0 1.0
1896,i would like pay by visa,1.0 1.0 1.0 0.66 0.91 1.0
1897,is there a hairdresser,1.0 1.0 1.0 1.0
1898,where is the hairdresser,1.0 1.0 1.0 1.0
1899,i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0
1900,i do not have a reservation,1.0 0.97 0.99 1.0 1.0 1.0
1901,i would like a room for four nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1902,i would like a double room,1.0 1.0 1.0 1.0 1.0 1.0
1903,i would like pay by visa,1.0 1.0 0.99 0.99 1.0 1.0
1904,is there a hotel bar,1.0 1.0 1.0 1.0 1.0
1905,where is the hotel bar,1.0 1.0 1.0 1.0 1.0
1907,my room is friday large,1.0 1.0 1.0 0.58 0.97
1908,i don't row,0.99 0.97 0.72
1909,a room isn't shampoo,0.74 1.0 0.73 1.0
1910,capital,0.62
1912,i would like a tea,1.0 1.0 1.0 0.97 0.95
1913,i would like the saturday great jeans,1.0 1.0 1.0 0.9 0.82 0.37 0.7
1916,i would like four tickets for the musical,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1917,i would like to buy four musical tickets,1.0 0.99 0.99 1.0 1.0 1.0 1.0 1.0
1918,four tickets for the saturdays four tickets for tuesday,0.99 1.0 1.0 1.0 0.47 0.78 0.85 0.95 1.0
1920,i haven't got a reservation,1.0 1.0 1.0 1.0 1.0
1921,no i don't have a reservation,1.0 1.0 1.0 1.0 1.0 1.0
1922,a room for four nights,1.0 1.0 1.0 1.0 1.0
1923,a junior suite,0.96 1.0 1.0
1924,i would like to pay by post card,1.0 1.0 1.0 1.0 1.0 0.9 1.0 1.0
1925,is there a hotel,1.0 1.0 1.0 0.95
1926,where is the hairdresser,1.0 1.0 1.0 0.95
1927,where is the hairdresser,1.0 1.0 1.0 0.88
1928,i don't have a reservation,1.0 0.9 1.0 1.0 1.0
1929,i do not have a reservation,1.0 0.7 0.72 1.0 1.0 1.0
1930,a room for two nights,1.0 1.0 1.0 1.0 1.0
1931,a twin room,1.0 1.0 1.0
1932,a twin room,1.0 1.0 1.0
1933,i would like to pay with mastercard,1.0 1.0 1.0 1.0 1.0 1.0 0.99
1934,is there a hotel bar,1.0 1.0 1.0 1.0 1.0
1935,where is the hotel bar,1.0 1.0 1.0 1.0 1.0
1936,my room is dirty,1.0 1.0 1.0 1.0
1937,in the room is no shower gel,0.96 1.0 1.0 0.98 0.57 1.0 1.0
1938,i could not find any no shower gel,1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.98
1939,where can i buy a shower gel,1.0 1.0 1.0 1.0 0.81 0.99 0.97
1940,a ticket to westminster,1.0 1.0 1.0 1.0
1941,can you give me a ticket to westminster,0.85 0.99 0.99 0.99 1.0 1.0 1.0 1.0
1942,i would like to pay with mastercard,1.0 1.0 1.0 1.0 1.0 1.0 0.97
1943,i would like to pay with dollars,1.0 1.0 1.0 1.0 1.0 1.0 1.0
1944,i don't have a reservation,1.0 0.6 1.0 1.0 1.0
1945,i do not have a reservation,1.0 0.57 0.58 1.0 1.0 1.0
1946,no i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0 1.0
1947,a room for seven nights,1.0 1.0 1.0 1.0 1.0
1948,a single room,1.0 1.0 1.0
1949,i,0.53
1950,i wanna,0.99 0.26
1951,can i pay with swiss francs,1.0 1.0 1.0 1.0 1.0 1.0
1952,is there a hotel bar,1.0 1.0 1.0 1.0 1.0
1953,who is the hotel bar,0.98 1.0 1.0 1.0 1.0
1954,my toilet is dirty,1.0 1.0 1.0 1.0
1955,a row,0.94 0.75
1956,where can i buy shirt,1.0 1.0 1.0 1.0 0.8
1957,a room for six nights,0.8 1.0 1.0 1.0 1.0
1958,i want to leave on,1.0 0.99 1.0 1.0 1.0
1960,the,0.74
1961,tee shirt,0.46 0.62
1962,a suite,0.96 0.97
1963,i would like a red post card,0.98 0.95 0.95 0.94 0.76 0.67 0.66
1965,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
1966,i do not have a reservation,1.0 0.55 0.54 1.0 1.0 1.0
1967,no i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0 1.0
1968,a room for two nights,1.0 1.0 1.0 0.99 1.0
1969,junior suite,1.0 1.0
1970,i would like a junior suite,1.0 1.0 1.0 1.0 1.0 1.0
1971,can i pay with visa,1.0 1.0 1.0 1.0 1.0
1972,is there a fitness studio,1.0 1.0 1.0 1.0 1.0
1973,where is the fitness studio,1.0 1.0 0.99 1.0 1.0
1974,six tickets am mashed london,1.0 1.0 0.41 0.3 0.93
1975,i'd like a thursday afternoon row,0.96 1.0 1.0 0.78 1.0 0.55
1976,i would like to leave on thursday afternoon,1.0 1.0 1.0 1.0 1.0 1.0 0.94 1.0
1977,my name is janet,1.0 1.0 1.0 1.0
1978,i'm from england,0.59 1.0 1.0
1979,my name is maddalena,1.0 1.0 1.0 1.0
1980,i am from england,0.65 0.65 1.0 1.0
1981,a ticket of nothing hill,0.9 1.0 0.97 0.75 1.0
1982,i would like a ticket a ticket to notting hill,1.0 1.0 1.0 0.71 0.69 0.96 1.0 1.0 0.9 1.0
1983,i pay with visa,1.0 1.0 1.0 1.0
1984,four musical tickets,0.99 1.0 1.0
1985,a four musical tickets please,0.7 0.99 1.0 1.0 1.0
1986,four tickets for at friday afternoon,1.0 1.0 1.0 0.71 1.0 1.0
1987,four tickets for billy room please,1.0 1.0 1.0 1.0 0.98 1.0
1988,four tickets for billy elliot please,1.0 1.0 1.0 1.0 1.0 0.94
1989,i want four tickets for billy elliot,1.0 1.0 1.0 1.0 1.0 1.0 1.0
1990,i would like in the second row sitting,1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.25
1991,i would like to sit in the second row,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1992,tickets for the london eye,0.98 1.0 1.0 1.0 1.0
1993,can i have four,1.0 1.0 1.0 0.4
1994,can i also have tickets for the london eye,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1995,i want three tickets,1.0 1.0 1.0 1.0
1996,i would like three tickets,1.0 1.0 1.0 0.98 1.0
1997,i would like a tea,1.0 1.0 1.0 0.88 0.87
1998,i would like the sunday roast,1.0 1.0 1.0 1.0 1.0 1.0
1999,i would like my sunday roast medium,1.0 1.0 1.0 1.0 1.0 1.0 1.0
2000,can i have the bill,1.0 1.0 1.0 0.5 0.5
2001,national,0.22
2002,i would like a dessert card please,1.0 1.0 1.0 0.99 1.0 1.0 1.0
2003,the dessert menu,1.0 0.99 1.0
2004,i would like the scones,1.0 1.0 1.0 0.99 1.0
2005,i would like the check,1.0 1.0 1.0 0.99 0.99
2006,i will buy pay with visa,1.0 0.62 0.77 1.0 1.0 1.0
2007,i pay with visa,1.0 1.0 1.0 1.0
2008,where is the british museum,1.0 1.0 1.0 1.0 1.0
2009,where is the piccadilly circus,1.0 1.0 1.0 1.0 1.0
2010,which bus goes there,1.0 1.0 1.0 1.0
2011,saint pauls cathedral is near the bank of england,1.0 1.0 1.0 1.0 1.0 0.68 1.0 1.0 1.0
2012,saint pauls cathedral is near the bank of england,0.97 0.97 0.97 0.97 0.97 0.58 0.97 0.97 0.97
2013,i'm fine,0.96 1.0
2014,i'm good,0.97 1.0
2015,i would like some boots,1.0 1.0 1.0 1.0 1.0
2016,i would like brown boots,1.0 1.0 1.0 1.0 1.0
2017,thirty seven,0.85 0.85
2018,i want a shirt,1.0 1.0 0.97 1.0
2019,i want a white shirt,1.0 0.99 0.78 0.49 0.52
2020,a white shirt please,0.99 1.0 1.0 1.0
2021,great,0.99
2022,i am a large,0.99 0.98 0.67 0.35
2023,i am john,1.0 1.0 0.72
2024,i want to sit on for much does it cost,1.0 1.0 0.62 0.77 0.31 0.5 1.0 1.0 1.0 1.0
2025,this is too expensive,1.0 1.0 1.0 1.0
2026,my name is patrick,1.0 1.0 1.0 1.0
2027,i'm from germany i am from german,0.99 1.0 0.99 1.0 1.0 1.0 0.83
2028,the capital of germany is berlin,0.74 1.0 1.0 1.0 1.0 1.0
2029,i have four younger sisters,1.0 1.0 1.0 1.0 0.89
2030,i am going on holidays,0.87 0.87 1.0 1.0 0.91
2031,yes it's my passport,1.0 0.92 1.0 1.0
2032,i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0
2033,no i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0 1.0
2034,a room for one week,1.0 1.0 1.0 1.0 1.0
2035,double room,1.0 1.0
2036,i pay with visa,1.0 1.0 1.0 1.0
2037,is there a for,1.0 1.0 0.98 0.68
2038,where is the hairdresser,1.0 1.0 1.0 1.0
2039,my room is,0.99 1.0 1.0
2040,there is no shampoo in the room,1.0 1.0 1.0 1.0 1.0 1.0 1.0
2041,where can i buy have shampoo,1.0 1.0 1.0 0.95 0.94 0.98
2042,six tickets to london please,1.0 1.0 1.0 1.0 1.0
2043,i would like a sunday evening go,1.0 1.0 1.0 0.91 0.82 1.0 0.86
2044,i would like to leave tomorrow at seven pm,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
2045,my name is john,1.0 1.0 1.0 1.0
2046,i'm from switzerland,0.92 1.0 1.0
2047,my name is mona,1.0 1.0 1.0 0.98
2048,i'm from portugal,0.92 1.0 1.0
2049,the capital of portugal is lisbon,0.91 1.0 1.0 1.0 1.0 1.0
2050,i have three older sisters,1.0 1.0 0.92 0.79 1.0
2051,i go to the holidays,1.0 0.94 0.78 0.51 0.88
2052,this is my passport,1.0 1.0 1.0 1.0
2053,ticket to green park,1.0 1.0 1.0 1.0
2054,ticket to green park please,1.0 1.0 1.0 1.0 1.0
2055,i need a ticket to green park,1.0 1.0 1.0 1.0 1.0 1.0 1.0
2056,i would pay with visa,1.0 0.69 1.0 1.0 1.0
2057,i pay with credit card,1.0 1.0 1.0 1.0 1.0
2058,two musical tickets please,1.0 1.0 1.0 1.0
2059,i need two musical tickets,1.0 1.0 0.99 1.0 1.0
2060,two tickets for monday afternoon please,1.0 1.0 1.0 1.0 1.0 0.88
2062,i want two tickets for monday night,1.0 1.0 1.0 1.0 1.0 1.0 1.0
2063,two tickets for starlight express please,0.99 1.0 1.0 1.0 0.99 1.0
2064,i want two tickets for starlight express,1.0 1.0 0.63 0.75 1.0 1.0 1.0
2065,i would like to sit in the fifth row,1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9 1.0
2066,i would like tickets for the national gallery,1.0 1.0 1.0 1.0 1.0 0.83 1.0 1.0
2067,three tickets please,0.75 1.0 0.88
2068,i would like three tickets,1.0 1.0 1.0 0.55 0.99
2069,i would like a orange shirt please,1.0 1.0 1.0 0.95 0.5 0.48 1.0
2070,i would like a steak,1.0 1.0 1.0 0.87 1.0
2071,i would like my steak rare,1.0 1.0 1.0 1.0 1.0 1.0
2072,i would like carrots,1.0 1.0 1.0 0.72
2073,i would like some carrots,1.0 1.0 1.0 1.0 1.0
2074,i would i would like the dessert menu please,1.0 1.0 0.98 0.96 1.0 1.0 1.0 1.0 1.0
2075,the dessert menu please,0.98 1.0 1.0 1.0
2076,i would like the custard tart,1.0 1.0 1.0 1.0 1.0 1.0
2077,i would like,1.0 1.0 1.0
2078,i would like the check,1.0 1.0 1.0 0.97 0.97
2079,i pay with visa,1.0 1.0 1.0 1.0
2080,where is the tate modern,0.69 1.0 1.0 1.0 1.0
2081,could you give me directions to the tate modern,1.0 1.0 1.0 1.0 1.0 0.99 0.46 1.0 1.0
2082,where is the oxford street,1.0 1.0 1.0 1.0 1.0
2083,where is the oxford street,1.0 1.0 0.62 1.0 1.0
2084,which bus goes there,1.0 1.0 1.0 1.0
2085,which bus goes there,1.0 1.0 1.0 1.0
2086,it is near the bank of england,0.93 1.0 1.0 0.91 1.0 1.0 1.0
2087,sorry i need,1.0 1.0 1.0
2088,sorry i want to go sorry i need to go,1.0 1.0 0.94 1.0 1.0 0.86 0.87 0.74 1.0 1.0
2089,sorry i need to go,1.0 1.0 0.99 1.0 1.0
2090,i want some boots,0.9 0.9 0.45 0.53
2091,i'm good,0.9 0.93
2092,i am looking for sandals,1.0 1.0 1.0 1.0 1.0
2093,i would like brown sandals,1.0 1.0 1.0 1.0 1.0
2094,thirty room,0.4 0.52
2095,i would like jeans,1.0 0.99 1.0 1.0
2096,i am looking for jeans,1.0 0.78 1.0 1.0 1.0
2097,i would like red jeans,1.0 1.0 1.0 0.66 0.95
2098,i am from france,0.98 0.74 0.46 0.35
2099,i want morning,0.98 0.57 0.73
2100,how much does the jeans cost,1.0 1.0 1.0 1.0 1.0 1.0
2101,it is too expensive,0.52 0.95 0.95 0.95
2102,a room for five nights please,1.0 1.0 1.0 1.0 1.0 1.0
2103,a twin room please,0.97 1.0 1.0 1.0
2104,i pay with visa,1.0 1.0 1.0 1.0
2105,can i pay with visa,1.0 1.0 1.0 1.0 1.0
2106,is there a restaurant,1.0 1.0 1.0 1.0
2107,is there a hotel restaurant,0.9 1.0 1.0 1.0 1.0
2109,my room is dirty,0.98 1.0 1.0 1.0
2110,i could not find any hairdryer,1.0 1.0 1.0 1.0 1.0 1.0
2111,i could not find any hairdryer,1.0 1.0 1.0 1.0 0.99 1.0
2112,where can i buy a hairdryer,1.0 0.99 1.0 0.94 0.99 1.0
2113,i want three,0.68 0.68 0.67
2114,i want three tickets to london please,1.0 1.0 0.67 1.0 1.0 1.0 1.0
2115,i would like three tickets to london,1.0 1.0 1.0 0.96 1.0 1.0 1.0
2116,i want to leave on monday afternoon,1.0 1.0 1.0 1.0 1.0 1.0 1.0
2117,i go much is this,0.95 0.91 0.99 1.0 1.0
2118,how much does it cost,1.0 1.0 1.0 1.0 1.0
2119,i want a cheaper ticket,1.0 1.0 0.78 0.46 0.6
2120,my name is paolo,1.0 1.0 1.0 0.76
2121,i'm from canada,0.97 1.0 1.0
2122,my name is brian,1.0 1.0 1.0 1.0
2123,i'm from england,0.96 1.0 1.0
2125,i pay with visa,1.0 1.0 1.0 1.0
2126,can i pay with visa,1.0 1.0 1.0 1.0 1.0
2127,i would like two musical tickets,1.0 1.0 1.0 1.0 1.0 1.0
2128,i would like to go on friday evening,1.0 1.0 1.0 1.0 1.0 1.0 0.41 1.0
2129,i would like two tickets for billy elliot,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
2130,i would like a red shirt,1.0 1.0 1.0 0.87 0.89 0.47
2131,i want to sit in the eighth row,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
2132,i would like tickets for national gallery,1.0 1.0 1.0 1.0 1.0 1.0 1.0
2133,three tickets,1.0 1.0
2134,i would like three tickets,1.0 1.0 1.0 0.54 1.0
2135,i would like a red shirt,1.0 1.0 1.0 0.78 0.57 0.38
2136,i would like a reservation,1.0 1.0 1.0 0.79 0.33
2137,i would like sandals,1.0 1.0 1.0 0.93
2138,i would like my sunday roast medium,1.0 1.0 1.0 1.0 1.0 1.0 1.0
2140,i would like a goulash soup,1.0 1.0 1.0 0.97 1.0 1.0
2141,i would like the dessert card i i would like the dessert card,1.0 1.0 1.0 0.99 0.87 1.0 0.94 1.0 1.0 1.0 1.0 0.98 1.0
2142,the dessert menu please,1.0 1.0 1.0 1.0
2143,the apple pie please,0.99 0.99 1.0 1.0
2144,i would like the bill,1.0 1.0 1.0 1.0 1.0
2145,can i pay with visa,1.0 1.0 1.0 1.0 1.0
2146,where is the national gallery,1.0 1.0 1.0 1.0 1.0
2147,where is the tower,1.0 1.0 1.0 1.0
2148,can you give me a ticket to the tower of london,1.0 1.0 1.0 1.0 0.97 0.95 0.99 0.99 0.89 0.93 1.0
